appid,name,content,positive_ratio
10,Counter-Strike,"Game: Counter-Strike. Description: Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Online Multi-Player, Local Multi-Player, Valve Anti-Cheat enabled",0.9738881546534452
20,Team Fortress Classic,"Game: Team Fortress Classic. Description: One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Online Multi-Player, Local Multi-Player, Valve Anti-Cheat enabled",0.8397873955960516
30,Day of Defeat,"Game: Day of Defeat. Description: Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.. Genres: Action. Steamspy_tags: FPS, World War II, Multiplayer. Categories: Multi-player, Valve Anti-Cheat enabled",0.8956476140534871
40,Deathmatch Classic,"Game: Deathmatch Classic. Description: Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Online Multi-Player, Local Multi-Player, Valve Anti-Cheat enabled",0.8266233766233766
50,Half-Life: Opposing Force,"Game: Half-Life: Opposing Force. Description: Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.. Genres: Action. Steamspy_tags: FPS, Action, Sci-fi. Categories: Single-player, Multi-player, Valve Anti-Cheat enabled",0.9479956663055256
60,Ricochet,"Game: Ricochet. Description: A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Online Multi-Player, Valve Anti-Cheat enabled",0.8012783265543288
70,Half-Life,"Game: Half-Life. Description: Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.. Genres: Action. Steamspy_tags: FPS, Classic, Action. Categories: Single-player, Multi-player, Online Multi-Player, Steam Cloud, Valve Anti-Cheat enabled",0.96187835730376
80,Counter-Strike: Condition Zero,"Game: Counter-Strike: Condition Zero. Description: With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Single-player, Multi-player, Valve Anti-Cheat enabled",0.8938712294416993
130,Half-Life: Blue Shift,"Game: Half-Life: Blue Shift. Description: Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.. Genres: Action. Steamspy_tags: FPS, Action, Sci-fi. Categories: Single-player",0.900990099009901
220,Half-Life 2,"Game: Half-Life 2. Description: 1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valve's debut title wins more than 50 game-of-the-year awards on its way to being named ""Best PC Game Ever"" by PC Gamer, and launches a franchise with more than eight million retail units sold worldwide.. Genres: Action. Steamspy_tags: FPS, Action, Sci-fi. Categories: Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Steam Cloud, Includes Source SDK",0.9656006029493324
240,Counter-Strike: Source,"Game: Counter-Strike: Source. Description: Just updated to include player stats, achievements, new scoreboards and more!. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK",0.9563622296816702
280,Half-Life: Source,"Game: Half-Life: Source. Description: Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.. Genres: Action. Steamspy_tags: FPS, Action, Sci-fi. Categories: Single-player",0.7815352697095436
300,Day of Defeat: Source,"Game: Day of Defeat: Source. Description: Valve's WWII Multiplayer Classic - Now available for Mac.. Genres: Action. Steamspy_tags: FPS, World War II, Multiplayer. Categories: Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Valve Anti-Cheat enabled, Stats, Includes Source SDK",0.8965723566116762
320,Half-Life 2: Deathmatch,"Game: Half-Life 2: Deathmatch. Description: Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Valve Anti-Cheat enabled, Includes Source SDK",0.8843837226384604
340,Half-Life 2: Lost Coast,"Game: Half-Life 2: Lost Coast. Description: Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.. Genres: Action. Steamspy_tags: FPS, Action, Singleplayer. Categories: Single-player, Commentary available",0.8500661472879611
360,Half-Life Deathmatch: Source,"Game: Half-Life Deathmatch: Source. Description: Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps, now running on the Source engine.. Genres: Action. Steamspy_tags: Action, FPS, Multiplayer. Categories: Multi-player, Valve Anti-Cheat enabled",0.7422343324250681
380,Half-Life 2: Episode One,"Game: Half-Life 2: Episode One. Description: Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.. Genres: Action. Steamspy_tags: FPS, Action, Sci-fi. Categories: Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Stats, Includes Source SDK, Commentary available",0.9386350148367952
400,Portal,"Game: Portal. Description: Portal&trade; is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.. Genres: Action. Steamspy_tags: Puzzle, First-Person, Singleplayer. Categories: Single-player, Steam Achievements, Captions available, Partial Controller Support, Includes level editor, Includes Source SDK, Commentary available",0.97957678561298
420,Half-Life 2: Episode Two,"Game: Half-Life 2: Episode Two. Description: Half-Life&reg; 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life&reg; adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions.. Genres: Action. Steamspy_tags: FPS, Action, Sci-fi. Categories: Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Stats, Includes Source SDK, Commentary available",0.9523222359227292
440,Team Fortress 2,"Game: Team Fortress 2. Description: Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!. Genres: Action, Free to Play. Steamspy_tags: Free to Play, Multiplayer, FPS. Categories: Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, In-App Purchases, Partial Controller Support, Valve Anti-Cheat enabled, Stats, Includes level editor, Commentary available",0.9381067983233772
500,Left 4 Dead,"Game: Left 4 Dead. Description: From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.. Genres: Action. Steamspy_tags: Zombies, Co-op, FPS. Categories: Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Captions available, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes Source SDK, Commentary available",0.9498386157997778
